PS C:\Users\Mingde\OneDrive\2023 Sp\INFO 550\Final project\myCode> & 'C:\ProgramData\Anaconda3\python.exe' pacman.py -p PacmanDQN -n 15200 -x 15000 -l mediumClassic
Training model
Episode No. 66  | lose | Q(s,a) = -999.0000     | reward = -440.0       | epsilon = 0.9912
Episode No. 67  | lose | Q(s,a) =  1.2839       | reward = -421.0       | epsilon = 0.9911
Episode No. 68  | lose | Q(s,a) = -999.0000     | reward = -439.0       | epsilon = 0.9909
Episode No. 69  | lose | Q(s,a) = -0.7056       | reward = -409.0       | epsilon = 0.9908
Episode No. 70  | lose | Q(s,a) =  9.9995       | reward = -433.0       | epsilon = 0.9907
Episode No. 71  | lose | Q(s,a) = -999.0000     | reward = -482.0       | epsilon = 0.9905
Episode No. 72  | lose | Q(s,a) = -999.0000     | reward = -459.0       | epsilon = 0.9904
Episode No. 73  | lose | Q(s,a) = -999.0000     | reward = -406.0       | epsilon = 0.9903
Episode No. 74  | lose | Q(s,a) = -999.0000     | reward = -491.0       | epsilon = 0.9901
Episode No. 75  | lose | Q(s,a) =  9.8606       | reward = -497.0       | epsilon = 0.9900
Episode No. 76  | lose | Q(s,a) = -999.0000     | reward = -364.0       | epsilon = 0.9899
Episode No. 77  | lose | Q(s,a) = -999.0000     | reward = -459.0       | epsilon = 0.9897
Episode No. 78  | lose | Q(s,a) = -999.0000     | reward = -478.0       | epsilon = 0.9896
Episode No. 79  | lose | Q(s,a) = -999.0000     | reward = -444.0       | epsilon = 0.9895
Episode No. 80  | lose | Q(s,a) =  6.6699       | reward = -417.0       | epsilon = 0.9893
Episode No. 81  | lose | Q(s,a) = -999.0000     | reward = -503.0       | epsilon = 0.9892
Episode No. 82  | lose | Q(s,a) = -999.0000     | reward = -484.0       | epsilon = 0.9891
Episode No. 83  | lose | Q(s,a) =  1.7304       | reward = -359.0       | epsilon = 0.9889
Episode No. 84  | lose | Q(s,a) = -999.0000     | reward = -471.0       | epsilon = 0.9888
Episode No. 85  | lose | Q(s,a) =  6.6147       | reward = -413.0       | epsilon = 0.9887
Episode No. 86  | lose | Q(s,a) = -0.6796       | reward = -502.0       | epsilon = 0.9885
Episode No. 87  | lose | Q(s,a) = -999.0000     | reward = -479.0       | epsilon = 0.9884
Episode No. 88  | lose | Q(s,a) = -0.0392       | reward = -463.0       | epsilon = 0.9883
Episode No. 89  | lose | Q(s,a) = -999.0000     | reward = -475.0       | epsilon = 0.9881
Episode No. 90  | lose | Q(s,a) =  8.9350       | reward = -420.0       | epsilon = 0.9880
Episode No. 91  | lose | Q(s,a) = -999.0000     | reward = -446.0       | epsilon = 0.9879
Episode No. 92  | lose | Q(s,a) = -999.0000     | reward = -480.0       | epsilon = 0.9877
Episode No. 93  | lose | Q(s,a) =  9.8011       | reward = -479.0       | epsilon = 0.9876
Episode No. 94  | lose | Q(s,a) =  8.7928       | reward = -417.0       | epsilon = 0.9875
Episode No. 95  | lose | Q(s,a) =  1.1983       | reward = -363.0       | epsilon = 0.9873
Episode No. 96  | lose | Q(s,a) = -999.0000     | reward = -491.0       | epsilon = 0.9872
Episode No. 97  | lose | Q(s,a) = -999.0000     | reward = -443.0       | epsilon = 0.9871
Episode No. 98  | lose | Q(s,a) =  9.1422       | reward = -499.0       | epsilon = 0.9869
Episode No. 99  | lose | Q(s,a) =  10.5497      | reward = -488.0       | epsilon = 0.9868
Episode No. 100 | lose | Q(s,a) =  9.6115       | reward = -451.0       | epsilon = 0.9867
------------------------------------Network Saved--------------------------------------
Episode No. 101 | lose | Q(s,a) =  23.5306      | reward = -447.0       | epsilon = 0.9865
Episode No. 102 | lose | Q(s,a) =  3.4600       | reward = -479.0       | epsilon = 0.9864
Episode No. 103 | lose | Q(s,a) = -999.0000     | reward = -456.0       | epsilon = 0.9863
Episode No. 104 | lose | Q(s,a) =  18.5957      | reward = -480.0       | epsilon = 0.9861
Episode No. 105 | lose | Q(s,a) = -999.0000     | reward = -425.0       | epsilon = 0.9860
Episode No. 106 | lose | Q(s,a) = -999.0000     | reward = -464.0       | epsilon = 0.9859
Episode No. 107 | lose | Q(s,a) = -999.0000     | reward = -427.0       | epsilon = 0.9857
Episode No. 108 | lose | Q(s,a) =  18.6871      | reward = -399.0       | epsilon = 0.9856
Episode No. 109 | lose | Q(s,a) =  20.1601      | reward = -444.0       | epsilon = 0.9855
Episode No. 110 | lose | Q(s,a) = -999.0000     | reward = -488.0       | epsilon = 0.9853
Episode No. 111 | lose | Q(s,a) = -999.0000     | reward = -488.0       | epsilon = 0.9852
Episode No. 112 | lose | Q(s,a) =  18.1969      | reward = -459.0       | epsilon = 0.9851
Episode No. 113 | lose | Q(s,a) =  18.1501      | reward = -483.0       | epsilon = 0.9849
Episode No. 114 | lose | Q(s,a) =  18.6356      | reward = -371.0       | epsilon = 0.9848
Episode No. 115 | lose | Q(s,a) =  11.5918      | reward = -417.0       | epsilon = 0.9847
Episode No. 116 | lose | Q(s,a) = -999.0000     | reward = -396.0       | epsilon = 0.9845
Episode No. 117 | lose | Q(s,a) =  7.5670       | reward = -469.0       | epsilon = 0.9844
Episode No. 118 | lose | Q(s,a) =  9.8944       | reward = -466.0       | epsilon = 0.9843
Episode No. 119 | lose | Q(s,a) = -999.0000     | reward = -479.0       | epsilon = 0.9841
Episode No. 120 | lose | Q(s,a) =  19.4942      | reward = -428.0       | epsilon = 0.9840
Episode No. 121 | lose | Q(s,a) = -999.0000     | reward = -438.0       | epsilon = 0.9839
Episode No. 122 | lose | Q(s,a) = -999.0000     | reward = -460.0       | epsilon = 0.9837
Episode No. 123 | lose | Q(s,a) = -999.0000     | reward = -456.0       | epsilon = 0.9836
Episode No. 124 | lose | Q(s,a) =  19.1908      | reward = -477.0       | epsilon = 0.9835
Episode No. 125 | lose | Q(s,a) = -999.0000     | reward = -493.0       | epsilon = 0.9833
Episode No. 126 | lose | Q(s,a) = -999.0000     | reward = -468.0       | epsilon = 0.9832
Episode No. 127 | lose | Q(s,a) =  19.5337      | reward = -457.0       | epsilon = 0.9831
Episode No. 128 | lose | Q(s,a) = -0.3162       | reward = -490.0       | epsilon = 0.9829
Episode No. 129 | lose | Q(s,a) = -999.0000     | reward = -393.0       | epsilon = 0.9828
Episode No. 130 | lose | Q(s,a) =  6.5422       | reward = -394.0       | epsilon = 0.9827
Episode No. 131 | lose | Q(s,a) = -1.7853       | reward = -512.0       | epsilon = 0.9825
Episode No. 132 | lose | Q(s,a) = -999.0000     | reward = -497.0       | epsilon = 0.9824
Episode No. 133 | lose | Q(s,a) =  8.6462       | reward = -505.0       | epsilon = 0.9823
Episode No. 134 | lose | Q(s,a) =  19.6577      | reward = -479.0       | epsilon = 0.9821
Episode No. 135 | lose | Q(s,a) =  18.4641      | reward = -364.0       | epsilon = 0.9820
Episode No. 136 | lose | Q(s,a) =  8.6762       | reward = -491.0       | epsilon = 0.9819
Episode No. 137 | lose | Q(s,a) =  16.6392      | reward = -382.0       | epsilon = 0.9817
Episode No. 138 | lose | Q(s,a) =  20.1566      | reward = -391.0       | epsilon = 0.9816
Episode No. 139 | lose | Q(s,a) =  19.3488      | reward = -503.0       | epsilon = 0.9815
Episode No. 140 | lose | Q(s,a) = -999.0000     | reward = -498.0       | epsilon = 0.9813
Episode No. 141 | lose | Q(s,a) =  19.9370      | reward = -505.0       | epsilon = 0.9812
Episode No. 142 | lose | Q(s,a) = -999.0000     | reward = -484.0       | epsilon = 0.9811
Episode No. 143 | lose | Q(s,a) = -1.2122       | reward = -424.0       | epsilon = 0.9809
Episode No. 144 | lose | Q(s,a) = -999.0000     | reward = -514.0       | epsilon = 0.9808
Episode No. 145 | lose | Q(s,a) =  17.7048      | reward = -453.0       | epsilon = 0.9807
Episode No. 146 | lose | Q(s,a) =  8.0550       | reward = -439.0       | epsilon = 0.9805
Episode No. 147 | lose | Q(s,a) = -999.0000     | reward = -459.0       | epsilon = 0.9804
Episode No. 148 | lose | Q(s,a) = -999.0000     | reward = -447.0       | epsilon = 0.9803
Episode No. 149 | lose | Q(s,a) =  7.1179       | reward = -360.0       | epsilon = 0.9801
Episode No. 150 | lose | Q(s,a) =  19.3496      | reward = -372.0       | epsilon = 0.9800
Episode No. 151 | lose | Q(s,a) =  19.5506      | reward = -514.0       | epsilon = 0.9799
Episode No. 152 | lose | Q(s,a) = -2.2816       | reward = -503.0       | epsilon = 0.9797
Episode No. 153 | lose | Q(s,a) =  18.8200      | reward = -439.0       | epsilon = 0.9796
